WorkingGroup,Year,Harvest,HunterDays,NumberOfWings,AdultMales,AdultFemales,YearlingMales,YearlingFemales,ChickMales,ChickFemales
Bates Hole,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates Hole,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates Hole,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates Hole,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates Hole,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates Hole,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates Hole,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates Hole,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates Hole,1998,1696,1345,NA,NA,NA,NA,NA,NA,NA
Bates Hole,1999,1674,1165,369,16.5,18.2,7.9,10.3,15.7,30.4
Bates Hole,2000,1698,1364,237,9.7,24.5,5.5,9.3,19.4,31.6
Bates Hole,2001,1378,1396,560,9.3,19.8,0.4,8.9,21.6,40
Bates Hole,2002,588,588,651,7.7,18.7,2.3,10.9,15.4,45
Bates Hole,2003,623,626,214,20.6,24.3,2.8,11.2,19.6,21.5
Bates Hole,2004,1237,1071,308,13.6,24.7,1.3,4.2,24,32.1
Bates Hole,2005,2304,1734,372,17.5,25.8,3,7.8,21.5,24.5
Bates Hole,2006,1672,1169,305,29.8,22.6,4.3,7.5,13.1,22.6
Bates Hole,2007,1365,1155,546,19.4,53.5,4.2,2.9,8.4,11.5
Bates Hole,2008,1295,1161,217,12,26.7,5.5,9.7,17.1,29
Bates Hole,2009,1026,956,314,12.7,26.1,9.2,12.1,17.8,22
Bates Hole,2010,1027,1001,284,13,35.2,5.6,12.3,13.4,20.4
Bates Hole,2011,1117,981,224,17.9,34.8,4.9,7.1,15.6,19.6
Bates Hole,2012,688,852,171,18.1,34.5,1.2,11.1,19.3,15.8
Bates Hole,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates Hole,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Big Horn,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA
Big Horn,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA
Big Horn,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Big Horn,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
Big Horn,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Big Horn,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
Big Horn,1996,781,1203,NA,NA,NA,NA,NA,NA,NA
Big Horn,1997,1199,1658,NA,NA,NA,NA,NA,NA,NA
Big Horn,1998,1473,2001,NA,NA,NA,NA,NA,NA,NA
Big Horn,1999,1675,1769,NA,NA,NA,NA,NA,NA,NA
Big Horn,2000,1100,1884,NA,NA,NA,NA,NA,NA,NA
Big Horn,2001,439,916,NA,NA,NA,NA,NA,NA,NA
Big Horn,2002,430,687,NA,NA,NA,NA,NA,NA,NA
Big Horn,2003,365,683,NA,NA,NA,NA,NA,NA,NA
Big Horn,2004,292,545,NA,NA,NA,NA,NA,NA,NA
Big Horn,2005,1016,1055,NA,NA,NA,NA,NA,NA,NA
Big Horn,2006,421,672,NA,NA,NA,NA,NA,NA,NA
Big Horn,2007,585,755,NA,NA,NA,NA,NA,NA,NA
Big Horn,2008,166,472,NA,NA,NA,NA,NA,NA,NA
Big Horn,2009,472,518,NA,NA,NA,NA,NA,NA,NA
Big Horn,2010,545,655,NA,NA,NA,NA,NA,NA,NA
Big Horn,2011,354,867,NA,NA,NA,NA,NA,NA,NA
Big Horn,2012,457,609,NA,NA,NA,NA,NA,NA,NA
Big Horn,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
Big Horn,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeast,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeast,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeast,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeast,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeast,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeast,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeast,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeast,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeast,1998,1453,1638,NA,NA,NA,NA,NA,NA,NA
Northeast,1999,2513,4233,70,5.7,11.4,8.6,5.7,31.4,37.1
Northeast,2000,2515,3743,130,10,19.2,0.8,19.2,31.5,19.2
Northeast,2001,956,1414,103,10.7,26.2,0,10.7,20.4,32
Northeast,2002,120,712,35,5.7,51.4,0,11.4,0,31.4
Northeast,2003,104,168,22,9.1,9.1,9.1,9.1,27.3,36.4
